nw,seed,tax,costp,conper,num_new_worker
50,214211,0.05,1.12,1,10
50,918811,0.05,1.67,1,10
50,12601,0.05,2.05,1,10
50,1406,0.05,2.16,1,10
50,1522,0.05,2.22,1,10
50,3685,0.05,2.48,1,10
50,3863,0.05,2.52,1,10
50,5440,0.05,2.55,1,10
50,4129,0.05,2.63,1,10
50,7296,0.05,2.68,1,10
50,2858,0.05,2.77,1,10
50,3302,0.05,2.8,1,10
50,9906,0.05,2.8,1,10
50,329,0.05,2.97,1,10
50,262,0.05,3.25,1,10
50,9035,0.05,3.42,1,10
50,122,0.05,3.42,1,10
50,8541,0.05,3.5,1,10
50,1827,0.05,3.56,1,10
50,5146,0.05,3.59,1,10
50,1871,0.05,3.74,1,10
50,5966,0.05,3.9,1,10
50,9208,0.05,4.17,1,10
50,3971,0.05,4.33,1,10
50,1233,0.05,4.47,1,10
50,5255,0.05,4.58,1,10
50,1081,0.05,4.89,1,10
50,8949,0.05,5.05,1,10
50,3126,0.05,5.32,1,10
50,8119,0.05,5.32,1,10
50,7231,0.05,5.37,1,10
50,9076,0.05,5.41,1,10
50,3601,0.05,5.55,1,10
50,1436,0.05,5.8,1,10
50,2457,0.05,5.82,1,10
50,3337,0.05,6.17,1,10
50,7949,0.05,6.22,1,10
50,5531,0.05,6.25,1,10
50,6753,0.05,6.85,1,10
50,9957,0.05,7.02,1,10
50,4236,0.05,7.14,1,10
50,433,0.05,7.17,1,10
50,4422,0.05,7.23,1,10
50,9964,0.05,7.23,1,10
50,6421,0.05,7.35,1,10
50,1169,0.05,7.45,1,10
50,7084,0.05,7.81,1,10
50,517,0.05,7.96,1,10
50,9800,0.05,7.98,1,10
50,1837,0.05,8.66,1,10
50,741,0.05,8.67,1,10
50,1583,0.05,8.85,1,10
50,3801,0.05,8.92,1,10
50,7407,0.05,8.93,1,10
50,2029,0.05,9.15,1,10
50,2379,0.05,9.31,1,10
50,8516,0.05,9.47,1,10
50,2743,0.05,9.6,1,10
50,7436,0.05,9.6,1,10
50,8782,0.05,9.63,1,10
50,6844,0.05,9.63,1,10
50,5530,0.05,9.81,1,10
50,2535,0.05,9.82,1,10
50,6022,0.05,9.96,1,10
50,896,0.05,10.39,1,10
50,652,0.05,10.45,1,10
50,9955,0.05,10.61,1,10
50,289,0.05,10.73,1,10
50,5227,0.05,10.73,1,10
50,8595,0.05,10.76,1,10
50,4322,0.05,11,1,10
50,46,0.05,11.29,1,10
50,6037,0.05,11.33,1,10
50,9153,0.05,11.48,1,10
50,9962,0.05,11.58,1,10
50,9997,0.05,11.86,1,10
50,5586,0.05,11.89,1,10
50,2040,0.05,11.99,1,10
50,201,0.05,12.19,1,10
50,6440,0.05,12.29,1,10
50,5257,0.05,12.31,1,10
50,6157,0.05,12.34,1,10
50,5483,0.05,12.38,1,10
50,8605,0.05,12.41,1,10
50,57,0.05,12.47,1,10
50,45331,0.05,12.47,1,10
50,9749,0.05,12.53,1,10
50,3137,0.05,12.57,1,10
50,48,0.05,12.79,1,10
50,123,0.05,12.82,1,10
50,26311,0.05,12.9,1,10
50,724,0.05,13.22,1,10
50,50601,0.05,13.27,1,10
50,1137,0.05,13.4,1,10
50,7958,0.05,13.44,1,10
50,7512,0.05,13.98,1,10
50,977,0.05,14.32,1,10
50,2319,0.05,14.58,1,10
50,4477,0.05,14.65,1,10
50,5890,0.05,14.92,1,10
