nw,seed,tax,costp,conper,num_new_worker
53,8605,0.05,3,1,53
48,262,0.05,3,1,48
15,2631,0.05,3,1,15
10,8541,0.05,3,1,10
58,2743,0.05,3,1,58
58,5530,0.05,3,1,58
34,6157,0.05,3,1,34
39,4129,0.05,3,1,39
53,7949,0.05,3,1,53
14,433,0.05,3,1,14
52,58901,0.05,3,1,52
29,9188,0.05,3,1,29
7,9208,0.05,3,1,7
52,9955,0.05,3,1,52
7,1827,0.05,3,1,7
51,1081,0.05,3,1,51
27,1169,0.05,3,1,27
28,9997,0.05,3,1,28
42,5257,0.05,3,1,42
53,9076,0.05,3,1,53
28,6753,0.05,3,1,28
49,724,0.05,3,1,49
41,4236,0.05,3,1,41
32,1583,0.05,3,1,32
17,5966,0.05,3,1,17
35,1522,0.05,3,1,35
51,329,0.05,3,1,51
56,9771,0.05,3,1,56
9,9906,0.05,3,1,9
16,7407,0.05,3,1,16
19,8782,0.05,3,1,19
46,517,0.05,3,1,46
45,2535,0.05,3,1,45
43,57,0.05,3,1,43
52,3126,0.05,3,1,52
23,896,0.05,3,1,23
57,4533,0.05,3,1,57
37,5255,0.05,3,1,37
7,8119,0.05,3,1,7
52,1436,0.05,3,1,52
44,8595,0.05,3,1,44
58,2142,0.05,3,1,58
56,1837,0.05,3,1,56
58,9153,0.05,3,1,58
23,1406,0.05,3,1,23
44,2457,0.05,3,1,44
57,7436,0.05,3,1,57
52,122,0.05,3,1,52
14,6844,0.05,3,1,14
58,54831,0.05,3,1,58
25,1233,0.05,3,1,25
21,1260,0.05,3,1,21
11,6022,0.05,3,1,11
33,7512111,0.05,3,1,33
22,2858,0.05,3,1,22
57,36011,0.05,3,1,57
20,3801,0.05,3,1,20
57,3137,0.05,3,1,57
21,70841,0.05,3,1,21
42,4322,0.05,3,1,42
29,6037,0.05,3,1,29
26,741,0.05,3,1,26
27,85161,0.05,3,1,27
29,2040,0.05,3,1,29
31,97491,0.05,3,1,31
31,7231,0.05,3,1,31
23,4422,0.05,3,1,23
60,6440,0.05,3,1,60
19,79581,0.05,3,1,19
27,3863,0.05,3,1,27
24,23191,0.05,3,1,24
25,289,0.05,3,1,25
38,9964,0.05,3,1,38
55,8949,0.05,3,1,55
30,2379,0.05,3,1,30
14,7296,0.05,3,1,14
14,9035,0.05,3,1,14
54,3971,0.05,3,1,54
56,46,0.05,3,1,56
45,5060,0.05,3,1,45
25,5440,0.05,3,1,25
25,2029,0.05,3,1,25
8,201,0.05,3,1,8
14,44771,0.05,3,1,14
16,3685,0.05,3,1,16
49,5586,0.05,3,1,49
48,3302,0.05,3,1,48
21,5531,0.05,3,1,21
42,1137,0.05,3,1,42
22,9957,0.05,3,1,22
56,48,0.05,3,1,56
39,6421,0.05,3,1,39
59,123,0.05,3,1,59
41,5227,0.05,3,1,41
29,652,0.05,3,1,29
12,9962,0.05,3,1,12
19,1871,0.05,3,1,19
53,9800,0.05,3,1,53
39,5146,0.05,3,1,39
16,3337,0.05,3,1,16
47,6657,0.05,3,1,47
10,1181,0.05,3,1,10
45,3917,0.05,3,1,45
38,6156,0.05,3,1,38
28,4987,0.05,3,1,28
43,6179,0.05,3,1,43
47,1557,0.05,3,1,47
29,7539,0.05,3,1,29
