nw,seed,tax,costp,conper,num_new_worker
20,214212,0.05,1.12,1,10
20,918811,0.05,1.67,1,10
20,12601,0.05,2.05,1,10
20,1406,0.05,2.16,1,10
20,1522,0.05,2.22,1,10
20,3685,0.05,2.48,1,10
20,3863,0.05,2.52,1,10
20,5440,0.05,2.55,1,10
20,4129,0.05,2.63,1,10
20,7296,0.05,2.68,1,10
20,2858,0.05,2.77,1,10
20,3302,0.05,2.8,1,10
20,9906,0.05,2.8,1,10
20,329,0.05,2.97,1,10
20,262,0.05,3.25,1,10
20,9035,0.05,3.42,1,10
20,122,0.05,3.42,1,10
20,8541,0.05,3.5,1,10
20,1827,0.05,3.56,1,10
20,5146,0.05,3.59,1,10
20,1871,0.05,3.74,1,10
20,5966,0.05,3.9,1,10
20,9208,0.05,4.17,1,10
20,3971,0.05,4.33,1,10
20,1233,0.05,4.47,1,10
20,5255,0.05,4.58,1,10
20,1081,0.05,4.89,1,10
20,8949,0.05,5.05,1,10
20,3126,0.05,5.32,1,10
20,8119,0.05,5.32,1,10
20,7231,0.05,5.37,1,10
20,9076,0.05,5.41,1,10
20,3601,0.05,5.55,1,10
20,1436,0.05,5.8,1,10
20,2457,0.05,5.82,1,10
20,3337,0.05,6.17,1,10
20,7949,0.05,6.22,1,10
20,5531,0.05,6.25,1,10
20,6753,0.05,6.85,1,10
20,9957,0.05,7.02,1,10
20,4236,0.05,7.14,1,10
20,433,0.05,7.17,1,10
20,4422,0.05,7.23,1,10
20,9964,0.05,7.23,1,10
20,6421,0.05,7.35,1,10
20,1169,0.05,7.45,1,10
20,7084,0.05,7.81,1,10
20,517,0.05,7.96,1,10
20,9800,0.05,7.98,1,10
20,1837,0.05,8.66,1,10
20,741,0.05,8.67,1,10
20,1583,0.05,8.85,1,10
20,3801,0.05,8.92,1,10
20,7407,0.05,8.93,1,10
20,2029,0.05,9.15,1,10
20,2379,0.05,9.31,1,10
20,8516,0.05,9.47,1,10
20,2743,0.05,9.6,1,10
20,7436,0.05,9.6,1,10
20,8782,0.05,9.63,1,10
20,6844,0.05,9.63,1,10
20,5530,0.05,9.81,1,10
20,2535,0.05,9.82,1,10
20,6022,0.05,9.96,1,10
20,896,0.05,10.39,1,10
20,652,0.05,10.45,1,10
20,9955,0.05,10.61,1,10
20,289,0.05,10.73,1,10
20,5227,0.05,10.73,1,10
20,8595,0.05,10.76,1,10
20,4322,0.05,11,1,10
20,46,0.05,11.29,1,10
20,6037,0.05,11.33,1,10
20,9153,0.05,11.48,1,10
20,9962,0.05,11.58,1,10
20,9997,0.05,11.86,1,10
20,5586,0.05,11.89,1,10
20,2040,0.05,11.99,1,10
20,201,0.05,12.19,1,10
20,6440,0.05,12.29,1,10
20,5257,0.05,12.31,1,10
20,6157,0.05,12.34,1,10
20,5484,0.05,12.38,1,10
20,8605,0.05,12.41,1,10
20,57,0.05,12.47,1,10
20,45331,0.05,12.47,1,10
20,9749,0.05,12.53,1,10
20,3137,0.05,12.57,1,10
20,48,0.05,12.79,1,10
20,123,0.05,12.82,1,10
20,26311,0.05,12.9,1,10
20,724,0.05,13.22,1,10
20,50601,0.05,13.27,1,10
20,1137,0.05,13.4,1,10
20,7958,0.05,13.44,1,10
20,7512,0.05,13.98,1,10
20,977,0.05,14.32,1,10
20,2319,0.05,14.58,1,10
20,4477,0.05,14.65,1,10
20,5890,0.05,14.92,1,10
